,value,compartment,time,network,model,N,T
77,0.4635104606620175,removed,130.0,MN_pre,SEIVR,10181,150
78,0.4648855711619684,removed,140.0,MN_pre,SEIVR,10181,150
79,0.46518023769767214,removed,150.0,MN_pre,SEIVR,10181,150
0,0.9891955603575288,susceptible,0.0,MN_pre,SEIVR_Q,10181,150
1,0.962872016501326,susceptible,10.0,MN_pre,SEIVR_Q,10181,150
2,0.9061978194676358,susceptible,20.0,MN_pre,SEIVR_Q,10181,150
3,0.8201551910421373,susceptible,30.0,MN_pre,SEIVR_Q,10181,150
4,0.7365681170808368,susceptible,40.0,MN_pre,SEIVR_Q,10181,150
5,0.6717414792260092,susceptible,50.0,MN_pre,SEIVR_Q,10181,150
6,0.62872016501326,susceptible,60.0,MN_pre,SEIVR_Q,10181,150
7,0.597780178764365,susceptible,70.0,MN_pre,SEIVR_Q,10181,150
8,0.5781357430507809,susceptible,80.0,MN_pre,SEIVR_Q,10181,150
9,0.5624201944799135,susceptible,90.0,MN_pre,SEIVR_Q,10181,150
10,0.550731755230331,susceptible,100.0,MN_pre,SEIVR_Q,10181,150
11,0.5392397603378843,susceptible,110.0,MN_pre,SEIVR_Q,10181,150
12,0.5301050977310676,susceptible,120.0,MN_pre,SEIVR_Q,10181,150
13,0.5226402121599057,susceptible,130.0,MN_pre,SEIVR_Q,10181,150
14,0.5145859935173362,susceptible,140.0,MN_pre,SEIVR_Q,10181,150
15,0.5087908849818289,susceptible,150.0,MN_pre,SEIVR_Q,10181,150
16,0.01080443964247127,exposed,0.0,MN_pre,SEIVR_Q,10181,150
17,0.011197328356742952,exposed,10.0,MN_pre,SEIVR_Q,10181,150
18,0.025243099891955605,exposed,20.0,MN_pre,SEIVR_Q,10181,150
19,0.03840487182005697,exposed,30.0,MN_pre,SEIVR_Q,10181,150
20,0.03732442785580984,exposed,40.0,MN_pre,SEIVR_Q,10181,150
21,0.031234652784598763,exposed,50.0,MN_pre,SEIVR_Q,10181,150
22,0.02151065710637462,exposed,60.0,MN_pre,SEIVR_Q,10181,150
23,0.014242215892348493,exposed,70.0,MN_pre,SEIVR_Q,10181,150
24,0.00775955210686573,exposed,80.0,MN_pre,SEIVR_Q,10181,150
25,0.005991552892643159,exposed,90.0,MN_pre,SEIVR_Q,10181,150
26,0.0031431097141734602,exposed,100.0,MN_pre,SEIVR_Q,10181,150
27,0.0029466653570376193,exposed,110.0,MN_pre,SEIVR_Q,10181,150
28,0.0017679992142225715,exposed,120.0,MN_pre,SEIVR_Q,10181,150
29,0.001375110499950889,exposed,130.0,MN_pre,SEIVR_Q,10181,150
30,0.0008839996071112857,exposed,140.0,MN_pre,SEIVR_Q,10181,150
31,0.0002946665357037619,exposed,150.0,MN_pre,SEIVR_Q,10181,150
32,0.0,infected,0.0,MN_pre,SEIVR_Q,10181,150
33,0.010313328749631668,infected,10.0,MN_pre,SEIVR_Q,10181,150
34,0.027109321284746097,infected,20.0,MN_pre,SEIVR_Q,10181,150
35,0.05303997642667714,infected,30.0,MN_pre,SEIVR_Q,10181,150
36,0.06610352617621058,infected,40.0,MN_pre,SEIVR_Q,10181,150
37,0.059227973676456144,infected,50.0,MN_pre,SEIVR_Q,10181,150
38,0.04871820056968863,infected,60.0,MN_pre,SEIVR_Q,10181,150
39,0.03702976132010608,infected,70.0,MN_pre,SEIVR_Q,10181,150
40,0.023966211570572635,infected,80.0,MN_pre,SEIVR_Q,10181,150
41,0.016501325999410666,infected,90.0,MN_pre,SEIVR_Q,10181,150
42,0.011491994892446714,infected,100.0,MN_pre,SEIVR_Q,10181,150
43,0.007366663392594047,infected,110.0,MN_pre,SEIVR_Q,10181,150
44,0.0057951085355073175,infected,120.0,MN_pre,SEIVR_Q,10181,150
45,0.0030448875356055395,infected,130.0,MN_pre,SEIVR_Q,10181,150
46,0.0023573322856300953,infected,140.0,MN_pre,SEIVR_Q,10181,150
47,0.0009822217856792063,infected,150.0,MN_pre,SEIVR_Q,10181,150
48,0.0,vaccinated,0.0,MN_pre,SEIVR_Q,10181,150
49,0.008938218249680777,vaccinated,10.0,MN_pre,SEIVR_Q,10181,150
50,0.018072880856497397,vaccinated,20.0,MN_pre,SEIVR_Q,10181,150
51,0.027600432177585697,vaccinated,30.0,MN_pre,SEIVR_Q,10181,150
52,0.03555642864158727,vaccinated,40.0,MN_pre,SEIVR_Q,10181,150
53,0.04203909242707003,vaccinated,50.0,MN_pre,SEIVR_Q,10181,150
54,0.048227089676849036,vaccinated,60.0,MN_pre,SEIVR_Q,10181,150
55,0.05480797564089972,vaccinated,70.0,MN_pre,SEIVR_Q,10181,150
56,0.06050486199783911,vaccinated,80.0,MN_pre,SEIVR_Q,10181,150
57,0.06590708181907474,vaccinated,90.0,MN_pre,SEIVR_Q,10181,150
58,0.07130930164031038,vaccinated,100.0,MN_pre,SEIVR_Q,10181,150
59,0.07749729889008938,vaccinated,110.0,MN_pre,SEIVR_Q,10181,150
60,0.0837835183184363,vaccinated,120.0,MN_pre,SEIVR_Q,10181,150
61,0.08918573813967194,vaccinated,130.0,MN_pre,SEIVR_Q,10181,150
62,0.0956684019251547,vaccinated,140.0,MN_pre,SEIVR_Q,10181,150
63,0.10107062174639034,vaccinated,150.0,MN_pre,SEIVR_Q,10181,150
64,0.0,removed,0.0,MN_pre,SEIVR_Q,10181,150
65,0.006679108142618603,removed,10.0,MN_pre,SEIVR_Q,10181,150
66,0.023376878499165112,removed,20.0,MN_pre,SEIVR_Q,10181,150
67,0.060799528533542875,removed,30.0,MN_pre,SEIVR_Q,10181,150
68,0.12444750024555544,removed,40.0,MN_pre,SEIVR_Q,10181,150
69,0.19575680188586583,removed,50.0,MN_pre,SEIVR_Q,10181,150
70,0.25282388763382774,removed,60.0,MN_pre,SEIVR_Q,10181,150
71,0.29613986838228074,removed,70.0,MN_pre,SEIVR_Q,10181,150
72,0.32963363127394163,removed,80.0,MN_pre,SEIVR_Q,10181,150
73,0.34917984480895786,removed,90.0,MN_pre,SEIVR_Q,10181,150
74,0.3633238385227384,removed,100.0,MN_pre,SEIVR_Q,10181,150
75,0.3729496120223947,removed,110.0,MN_pre,SEIVR_Q,10181,150
76,0.37854827620076614,removed,120.0,MN_pre,SEIVR_Q,10181,150
77,0.3837540516648659,removed,130.0,MN_pre,SEIVR_Q,10181,150
78,0.3865042726647677,removed,140.0,MN_pre,SEIVR_Q,10181,150
79,0.3888616049503978,removed,150.0,MN_pre,SEIVR_Q,10181,150
0,0.9908,susceptible,0.0,PLC_pre,SEIVR,10000,150
1,0.9741,susceptible,10.0,PLC_pre,SEIVR,10000,150
2,0.9481,susceptible,20.0,PLC_pre,SEIVR,10000,150
3,0.8951,susceptible,30.0,PLC_pre,SEIVR,10000,150
4,0.8299,susceptible,40.0,PLC_pre,SEIVR,10000,150
5,0.7697,susceptible,50.0,PLC_pre,SEIVR,10000,150
6,0.73,susceptible,60.0,PLC_pre,SEIVR,10000,150
7,0.7074,susceptible,70.0,PLC_pre,SEIVR,10000,150
8,0.6931,susceptible,80.0,PLC_pre,SEIVR,10000,150
9,0.6815,susceptible,90.0,PLC_pre,SEIVR,10000,150
10,0.6726,susceptible,100.0,PLC_pre,SEIVR,10000,150
11,0.6651,susceptible,110.0,PLC_pre,SEIVR,10000,150
12,0.6574,susceptible,120.0,PLC_pre,SEIVR,10000,150
13,0.6512,susceptible,130.0,PLC_pre,SEIVR,10000,150
14,0.6432,susceptible,140.0,PLC_pre,SEIVR,10000,150
15,0.6363,susceptible,150.0,PLC_pre,SEIVR,10000,150
16,0.0092,exposed,0.0,PLC_pre,SEIVR,10000,150
17,0.0048,exposed,10.0,PLC_pre,SEIVR,10000,150
18,0.0102,exposed,20.0,PLC_pre,SEIVR,10000,150
19,0.0217,exposed,30.0,PLC_pre,SEIVR,10000,150
20,0.0267,exposed,40.0,PLC_pre,SEIVR,10000,150
21,0.0259,exposed,50.0,PLC_pre,SEIVR,10000,150
22,0.0161,exposed,60.0,PLC_pre,SEIVR,10000,150
23,0.01,exposed,70.0,PLC_pre,SEIVR,10000,150
24,0.0037,exposed,80.0,PLC_pre,SEIVR,10000,150
25,0.0018,exposed,90.0,PLC_pre,SEIVR,10000,150
26,0.0004,exposed,100.0,PLC_pre,SEIVR,10000,150
27,0.0007,exposed,110.0,PLC_pre,SEIVR,10000,150
28,0.0001,exposed,120.0,PLC_pre,SEIVR,10000,150
29,0.0001,exposed,130.0,PLC_pre,SEIVR,10000,150
30,0.0,exposed,140.0,PLC_pre,SEIVR,10000,150
31,0.0,exposed,150.0,PLC_pre,SEIVR,10000,150
32,0.0,infected,0.0,PLC_pre,SEIVR,10000,150
33,0.0066,infected,10.0,PLC_pre,SEIVR,10000,150
34,0.0103,infected,20.0,PLC_pre,SEIVR,10000,150
35,0.0257,infected,30.0,PLC_pre,SEIVR,10000,150
36,0.0427,infected,40.0,PLC_pre,SEIVR,10000,150
37,0.0495,infected,50.0,PLC_pre,SEIVR,10000,150
38,0.0424,infected,60.0,PLC_pre,SEIVR,10000,150
39,0.0273,infected,70.0,PLC_pre,SEIVR,10000,150
40,0.0177,infected,80.0,PLC_pre,SEIVR,10000,150
41,0.0095,infected,90.0,PLC_pre,SEIVR,10000,150
42,0.0055,infected,100.0,PLC_pre,SEIVR,10000,150
43,0.0023,infected,110.0,PLC_pre,SEIVR,10000,150
44,0.0013,infected,120.0,PLC_pre,SEIVR,10000,150
45,0.0009,infected,130.0,PLC_pre,SEIVR,10000,150
46,0.0002,infected,140.0,PLC_pre,SEIVR,10000,150
47,0.0001,infected,150.0,PLC_pre,SEIVR,10000,150
48,0.0,vaccinated,0.0,PLC_pre,SEIVR,10000,150
49,0.0109,vaccinated,10.0,PLC_pre,SEIVR,10000,150
50,0.0203,vaccinated,20.0,PLC_pre,SEIVR,10000,150
51,0.0305,vaccinated,30.0,PLC_pre,SEIVR,10000,150
52,0.0388,vaccinated,40.0,PLC_pre,SEIVR,10000,150
53,0.0477,vaccinated,50.0,PLC_pre,SEIVR,10000,150
54,0.0546,vaccinated,60.0,PLC_pre,SEIVR,10000,150
55,0.0607,vaccinated,70.0,PLC_pre,SEIVR,10000,150
56,0.0682,vaccinated,80.0,PLC_pre,SEIVR,10000,150
57,0.0766,vaccinated,90.0,PLC_pre,SEIVR,10000,150
58,0.0841,vaccinated,100.0,PLC_pre,SEIVR,10000,150
59,0.0906,vaccinated,110.0,PLC_pre,SEIVR,10000,150
60,0.0982,vaccinated,120.0,PLC_pre,SEIVR,10000,150
61,0.1041,vaccinated,130.0,PLC_pre,SEIVR,10000,150
62,0.112,vaccinated,140.0,PLC_pre,SEIVR,10000,150
63,0.1189,vaccinated,150.0,PLC_pre,SEIVR,10000,150
64,0.0,removed,0.0,PLC_pre,SEIVR,10000,150
65,0.0036,removed,10.0,PLC_pre,SEIVR,10000,150
66,0.0111,removed,20.0,PLC_pre,SEIVR,10000,150
67,0.027,removed,30.0,PLC_pre,SEIVR,10000,150
68,0.0619,removed,40.0,PLC_pre,SEIVR,10000,150
69,0.1072,removed,50.0,PLC_pre,SEIVR,10000,150
70,0.1569,removed,60.0,PLC_pre,SEIVR,10000,150
71,0.1946,removed,70.0,PLC_pre,SEIVR,10000,150
72,0.2173,removed,80.0,PLC_pre,SEIVR,10000,150
73,0.2306,removed,90.0,PLC_pre,SEIVR,10000,150
74,0.2374,removed,100.0,PLC_pre,SEIVR,10000,150
75,0.2413,removed,110.0,PLC_pre,SEIVR,10000,150
